threshold,precision,recall,f1
0.0058357627,0.3486328125,1.0,0.5170166545981173
0.005845046,0.3489736070381232,1.0,0.5173913043478261
0.0058513363,0.3493150684931507,1.0,0.5177664974619289
0.0058698356,0.34965719882468166,1.0,0.5181422351233671
0.0058943983,0.35,1.0,0.5185185185185185
0.005902949,0.35034347399411186,1.0,0.5188953488372093
0.005915514,0.3506876227897839,1.0,0.5192727272727272
0.005921827,0.35103244837758113,1.0,0.519650655021834
0.0059706294,0.3513779527559055,1.0,0.5200291332847778
0.005989249,0.35172413793103446,1.0,0.520408163265306
0.00609137,0.3520710059171598,1.0,0.5207877461706784
0.0061032204,0.35241855873642647,1.0,0.5211678832116788
0.006168773,0.35276679841897235,1.0,0.5215485756026297
0.0062488676,0.35311572700296734,1.0,0.5219298245614035
0.006271391,0.35346534653465345,1.0,0.5223116313094367
0.006295478,0.3538156590683845,1.0,0.5226939970717422
0.00632739,0.3541666666666667,1.0,0.5230769230769231
0.0063609206,0.3545183714001986,1.0,0.5234604105571847
0.006390661,0.3548707753479125,1.0,0.5238444607483492
0.0064304844,0.35522388059701493,1.0,0.5242290748898678
0.0064361417,0.3555776892430279,1.0,0.5246142542248348
0.0064581335,0.3559322033898305,1.0,0.525
0.0065108174,0.3562874251497006,1.0,0.5253863134657837
0.0065293564,0.35664335664335667,1.0,0.5257731958762887
0.0065851784,0.357,1.0,0.5261606484893147
0.0065945275,0.35735735735735735,1.0,0.5265486725663716
0.0066323793,0.35771543086172347,1.0,0.5269372693726938
0.006644558,0.35807422266800404,1.0,0.5273264401772526
0.0066742213,0.35843373493975905,1.0,0.5277161862527716
0.006686216,0.3587939698492462,1.0,0.5281065088757396
0.006705597,0.3591549295774648,1.0,0.5284974093264249
0.0067361277,0.3595166163141994,1.0,0.5288888888888889
0.0067810593,0.3598790322580645,1.0,0.5292809488510007
0.006788906,0.3602421796165489,1.0,0.5296735905044511
0.006847681,0.3606060606060606,1.0,0.5300668151447662
0.006866619,0.3609706774519717,1.0,0.5304606240713224
0.006867328,0.36133603238866396,1.0,0.5308550185873606
0.0068688896,0.3617021276595745,1.0,0.53125
0.0068733343,0.3620689655172414,1.0,0.5316455696202532
0.006888617,0.36243654822335025,1.0,0.5320417287630402
0.0069038053,0.3628048780487805,1.0,0.5324384787472035
0.0069320337,0.3631739572736521,1.0,0.5328358208955224
0.006949674,0.3635437881873727,1.0,0.5332337565347274
0.00695178,0.363914373088685,1.0,0.5336322869955157
0.0069652107,0.36428571428571427,1.0,0.5340314136125655
0.0069695585,0.36465781409601633,1.0,0.5344311377245509
0.006996371,0.36503067484662577,1.0,0.5348314606741573
0.0070660636,0.3654042988741044,1.0,0.535232383808096
0.0071136984,0.36577868852459017,1.0,0.5356339084771193
0.0071138805,0.36615384615384616,1.0,0.536036036036036
0.0071186717,0.3665297741273101,1.0,0.5364387678437266
0.0071598496,0.3669064748201439,1.0,0.5368421052631579
0.0072369967,0.36728395061728397,1.0,0.5372460496613995
0.007251064,0.36766220391349125,1.0,0.5376506024096386
